# radius [cm] density [g/cm^3] velocity [cm/s] pressure [erg/cm^3] temperature [K] luminosity [erg/cm^3/s]
6.808751272422105540e+05 4.700139718207948685e+09 -2.896597558336423244e+05 3.724418339982079670e+27 8.810815250430421829e+09 4.123474594627379169e-02
8.578773130408962024e+05 4.699206369005188942e+09 -3.649594746192394523e+05 3.723466661237117504e+27 8.810668702885604858e+09 8.011707123173732181e-02
1.080918206284146290e+06 4.698094709239560127e+09 -4.598437966567838448e+05 3.722333755220371130e+27 8.810499215420732498e+09 1.600349187581425747e-01
1.361995005352437729e+06 4.696330275020734787e+09 -5.794151769918722566e+05 3.720535780005453639e+27 8.810230529798782349e+09 3.204622216043517269e-01
1.716254552497049328e+06 4.693530046764296532e+09 -7.301146496366140200e+05 3.717682711612568321e+27 8.809803559609916687e+09 6.418007294929988227e-01
2.162843230024137069e+06 4.689086559833453178e+09 -9.200819463141891174e+05 3.713156379229992988e+27 8.809125024633127213e+09 1.283793612007943841e+00
2.726009299232892692e+06 4.682036877498596191e+09 -1.159621288910403615e+06 3.705977900490945281e+27 8.808048171289283752e+09 2.586521320388900147e+00
3.234293316174648236e+06 4.673331045276301384e+09 -1.375797634086184204e+06 3.697116649717366679e+27 8.806707920231189728e+09 4.329324812349849338e+00
3.619867829942654353e+06 4.664942760895114899e+09 -1.539770549941454548e+06 3.688582952300663353e+27 8.805411627963090897e+09 6.043653435761745740e+00
4.211499885417580605e+06 4.653704146071553230e+09 -1.791345077477053041e+06 3.677157536837475873e+27 8.803680310317710876e+09 9.521879091822226471e+00
5.058726164857153781e+06 4.634400707886180878e+09 -2.151534144057979342e+06 3.657552372603639820e+27 8.800698475375507355e+09 1.651394575182635904e+01
6.212189208597218618e+06 4.602306212806353569e+09 -2.641758544871937018e+06 3.625009793765623124e+27 8.795717574662885666e+09 3.070430378596796572e+01
7.735207076654847711e+06 4.550164229542536736e+09 -3.288704764360294677e+06 3.572281421914139679e+27 8.787538468379732132e+09 5.957040269974853430e+01
9.716474536389237270e+06 4.466749473847407341e+09 -4.129583854092282243e+06 3.488297078227939215e+27 8.774241366424068451e+09 1.202530919434381502e+02
1.199294536868068203e+07 4.346781520559651375e+09 -5.094497689362018369e+06 3.368296217757790146e+27 8.754383336075071335e+09 2.257689865208608353e+02
1.387093437951651402e+07 4.216780945728688240e+09 -5.889337360909435898e+06 3.239354030583928930e+27 8.732259815561849594e+09 3.547391609648706208e+02
1.598646441099708155e+07 4.071785454823858261e+09 -6.783210410595987923e+06 3.096894007126118673e+27 8.706480571759702682e+09 5.399322989376927353e+02
1.885936886318514124e+07 3.868641456157835484e+09 -7.994153732778469101e+06 2.899824557511264944e+27 8.669166192498186111e+09 8.891698690375195611e+02
2.074372494288747758e+07 3.675004416464932919e+09 -8.786399695491274819e+06 2.714725618588372524e+27 8.630916430377668381e+09 1.146101200598674950e+03
2.229239080493887141e+07 3.525465231619524956e+09 -9.436206085391875356e+06 2.573766794730587404e+27 8.600826383584873199e+09 1.452654403213242858e+03
2.332278783281247690e+07 3.411380931692549229e+09 -9.867839189630046487e+06 2.467345049614809233e+27 8.576214876353425026e+09 1.694451719534999711e+03
2.557835184559696540e+07 3.256436765289925575e+09 -1.081045557550359890e+07 2.324447482045401333e+27 8.541075018135848045e+09 2.062204238968196933e+03
2.661555756883817539e+07 3.110306341136041641e+09 -1.124292562447041087e+07 2.191559402570271658e+27 8.507674566132642746e+09 2.457637614140466667e+03
2.775543033806490898e+07 3.010237562951143742e+09 -1.171735329765797593e+07 2.101514885762118698e+27 8.482484887923201561e+09 2.756283077350972690e+03
2.919085465062902123e+07 2.891794390637429237e+09 -1.231345207565613836e+07 1.996054941374949552e+27 8.451520704027681351e+09 3.039856808193009329e+03
3.114604295530692860e+07 2.736560869013205528e+09 -1.312293753675726801e+07 1.859818139455269671e+27 8.410469489389704704e+09 3.644981000172553649e+03
3.196436407274045795e+07 2.615851212572930813e+09 -1.346080738136063144e+07 1.755340711239110174e+27 8.375631198989470482e+09 3.768351171488025102e+03
3.249939747108338773e+07 2.556522895606549263e+09 -1.368141328846764565e+07 1.704534125557660827e+27 8.358600071275316238e+09 4.198073434085315967e+03
3.326779344350031391e+07 2.499396049812096596e+09 -1.399776370706769824e+07 1.655873978584062683e+27 8.340717207276453972e+09 4.259836331804648580e+03
3.460121066137804836e+07 2.407847182976592064e+09 -1.454805481121734530e+07 1.578624540831217570e+27 8.312496131551161766e+09 4.364009387839117153e+03
3.542190459670696408e+07 2.317385116791893005e+09 -1.488590410554205440e+07 1.503211701347207716e+27 8.285108566427966118e+09 5.038799200836792807e+03
3.643554605422504246e+07 2.240935882974144459e+09 -1.530211771760190465e+07 1.440029912304933778e+27 8.258999308594043732e+09 5.032245734399677531e+03
3.826033214739288390e+07 2.124103216177226067e+09 -1.604853644366033562e+07 1.344816647466252789e+27 8.220252343166449547e+09 5.482295156413707446e+03
3.898713056160415709e+07 2.025276165147366762e+09 -1.634478655771055445e+07 1.265435789518410779e+27 8.185653694541970253e+09 5.899151043751321595e+03
4.042185810142873973e+07 1.941571825953297138e+09 -1.692763825045392662e+07 1.199046458058425658e+27 8.154629148116718292e+09 6.133831014444010179e+03
4.104255670134919882e+07 1.865788807268846750e+09 -1.717898976105961949e+07 1.139663585818396877e+27 8.125845881040661812e+09 5.737117410432466386e+03
4.183562061931832880e+07 1.813970322346187115e+09 -1.749950808164245635e+07 1.099550172304731628e+27 8.107656084941927910e+09 7.392133978751170616e+03
