# radius [cm] density [g/cm^3] velocity [cm/s] pressure [erg/cm^3]
9.786907104243360814e-06 4.700139718207948685e+09 -2.896597558336423244e+05 3.724418339982079670e+27
1.233113860918350223e-05 4.699206369005188942e+09 -3.649594746192394523e+05 3.723466661237117504e+27
1.553713103757576949e-05 4.698094709239560127e+09 -4.598437966567838448e+05 3.722333755220371130e+27
1.957733226034839426e-05 4.696330275020734787e+09 -5.794151769918722566e+05 3.720535780005453639e+27
2.466946316655238352e-05 4.693530046764296532e+09 -7.301146496366140200e+05 3.717682711612568321e+27
3.108873408112889600e-05 4.689086559833453178e+09 -9.200819463141891174e+05 3.713156379229992988e+27
3.918368979779923055e-05 4.682036877498596191e+09 -1.159621288910403615e+06 3.705977900490945281e+27
4.648977024830599537e-05 4.673331045276301384e+09 -1.375797634086184204e+06 3.697116649717366679e+27
5.203202285385445533e-05 4.664942760895114899e+09 -1.539770549941454548e+06 3.688582952300663353e+27
6.053614899263447800e-05 4.653704146071553230e+09 -1.791345077477053041e+06 3.677157536837475873e+27
7.271418951929212789e-05 4.634400707886180878e+09 -2.151534144057979342e+06 3.657552372603639820e+27
8.929408090552276242e-05 4.602306212806353569e+09 -2.641758544871937018e+06 3.625009793765623124e+27
1.111859576923220929e-04 4.550164229542536736e+09 -3.288704764360294677e+06 3.572281421914139679e+27
1.396647195111288826e-04 4.466749473847407341e+09 -4.129583854092282243e+06 3.488297078227939215e+27
1.723867380865413610e-04 4.346781520559651375e+09 -5.094497689362018369e+06 3.368296217757790146e+27
1.993809742635692665e-04 4.216780945728688240e+09 -5.889337360909435898e+06 3.239354030583928930e+27
2.297896278711669151e-04 4.071785454823858261e+09 -6.783210410595987923e+06 3.096894007126118673e+27
2.710847903289513128e-04 3.868641456157835484e+09 -7.994153732778469101e+06 2.899824557511264944e+27
2.981705468289129880e-04 3.675004416464932919e+09 -8.786399695491274819e+06 2.714725618588372524e+27
3.204310881836836444e-04 3.525465231619524956e+09 -9.436206085391875356e+06 2.573766794730587404e+27
3.352420272073088612e-04 3.411380931692549229e+09 -9.867839189630046487e+06 2.467345049614809233e+27
3.676635309127061118e-04 3.256436765289925575e+09 -1.081045557550359890e+07 2.324447482045401333e+27
3.825723382037972387e-04 3.110306341136041641e+09 -1.124292562447041087e+07 2.191559402570271658e+27
3.989568828239889410e-04 3.010237562951143742e+09 -1.171735329765797593e+07 2.101514885762118698e+27
4.195896888116863971e-04 2.891794390637429237e+09 -1.231345207565613836e+07 1.996054941374949552e+27
4.476935885483244266e-04 2.736560869013205528e+09 -1.312293753675726801e+07 1.859818139455269671e+27
4.594561459356109943e-04 2.615851212572930813e+09 -1.346080738136063144e+07 1.755340711239110174e+27
4.671467223096649230e-04 2.556522895606549263e+09 -1.368141328846764565e+07 1.704534125557660827e+27
4.781916550740306538e-04 2.499396049812096596e+09 -1.399776370706769824e+07 1.655873978584062683e+27
4.973582098803801558e-04 2.407847182976592064e+09 -1.454805481121734530e+07 1.578624540831217570e+27
5.091548741800626995e-04 2.317385116791893005e+09 -1.488590410554205440e+07 1.503211701347207716e+27
5.237249684379048902e-04 2.240935882974144459e+09 -1.530211771760190465e+07 1.440029912304933778e+27
5.499544652492868637e-04 2.124103216177226067e+09 -1.604853644366033562e+07 1.344816647466252789e+27
5.604014742217070183e-04 2.025276165147366762e+09 -1.634478655771055445e+07 1.265435789518410779e+27
5.810242647898338029e-04 1.941571825953297138e+09 -1.692763825045392662e+07 1.199046458058425658e+27
5.899461937810722900e-04 1.865788807268846750e+09 -1.717898976105961949e+07 1.139663585818396877e+27
6.013457038855588715e-04 1.813970322346187115e+09 -1.749950808164245635e+07 1.099550172304731628e+27
6.112611565818254012e-04 1.761212590916044712e+09 -1.777746149424495548e+07 1.058832900521430060e+27
6.345535245669066708e-04 1.679765418869579315e+09 -1.842786595579528436e+07 9.969157991676659345e+26
6.446510064822560211e-04 1.602527175526520252e+09 -1.870872148028768227e+07 9.389990672159468476e+26
6.538850786050417379e-04 1.558765958815643549e+09 -1.896477296104110777e+07 9.063990787764315487e+26
6.653146166999440074e-04 1.512648733398956776e+09 -1.928088170858761296e+07 8.724868573501749525e+26
6.801114466192548788e-04 1.455811767858333349e+09 -1.968843511011225358e+07 8.309612496402468985e+26
6.894588434774280919e-04 1.404915225208027124e+09 -1.994530532215899229e+07 7.944457210073225251e+26
6.980517240619324697e-04 1.368350804651582956e+09 -2.018061657166610658e+07 7.681516630517885102e+26
7.126271717404279423e-04 1.321848217795416832e+09 -2.057822768419146538e+07 7.351277649383903524e+26
7.291881235479011564e-04 1.261403602062288284e+09 -2.102798360656188056e+07 6.928182691741674546e+26
7.410034738379816079e-04 1.208741255696474075e+09 -2.134734588598608226e+07 6.563332661639978154e+26
7.493925645781065797e-04 1.171986509390867233e+09 -2.157367252806514129e+07 6.313556717934584460e+26
7.600176818071192105e-04 1.138757782252614975e+09 -2.185905386465595663e+07 6.085988626820337884e+26
7.764941425662553196e-04 1.092100111493045807e+09 -2.229994494166244566e+07 5.773269236681182496e+26
7.860582531755190300e-04 1.049408459073869228e+09 -2.255472113598755002e+07 5.489195441803041593e+26
7.939430511319460872e-04 1.021715745644763827e+09 -2.276395245605489612e+07 5.305623604857986079e+26
8.124961704028698826e-04 9.800564553605597019e+08 -2.325482303522430733e+07 5.035820095207852615e+26
8.231953672886132417e-04 9.367370575088398457e+08 -2.353629522948729619e+07 4.755767871405594610e+26
8.339763416115027021e-04 9.056882404188843966e+08 -2.381900732407423109e+07 4.558407946497597602e+26
