0 1 2 2 6 7 8 10 12 14 16 18 20 22 24 24 26 26 26 27 28
1 0 1 2 6 7 8 10 12 14 16 18 20 22 24 36 26 28 30 29 28
8.557011787263523253e-03 1.050341922576618825e-04 5.274314213875198451e-29 1.378117064438058072e-02 2.614794223875184424e-09 9.999999999999999949e-91 5.753656893605647579e-10 4.736492388421116009e-12 1.831550199404318080e-11 6.929638163382686192e-10 4.807527380979948831e-10 3.528124832979179507e-10 3.027355297089296934e-10 5.622798744078920408e-11 2.032629870394249304e-10 1.590207285759855180e-03 7.498057510852270581e-10 2.325553210864913915e-04 9.757340096882048952e-01 3.603574546972125219e-09 1.425699222557973727e-09
8.555634422407351614e-03 1.050484669554418982e-04 5.217682702856443883e-29 1.378214759283238021e-02 2.614848446428037085e-09 9.999999999999999949e-91 5.754054714279237012e-10 4.736767976485133989e-12 1.831810540072211207e-11 6.931332307360617876e-10 4.808848761541670742e-10 3.529153549722869631e-10 3.028353590537061238e-10 5.624311971965677655e-11 2.033261424495221982e-10 1.589598873381527699e-03 7.500670937251504397e-10 2.326028303197238587e-04 9.757349567304036686e-01 3.604725545250695827e-09 1.426260405064319537e-09
8.554056365647143625e-03 1.050671126491156644e-04 5.266889850859874901e-29 1.378345341812103886e-02 2.614965205275263539e-09 5.094939571283498199e-27 5.754647975408195177e-10 4.737210686979555326e-12 1.832160940020591585e-11 6.933485132932788538e-10 4.810519844349176240e-10 3.530454389699508504e-10 3.029607321631671556e-10 5.626259892225078282e-11 2.034065044347666954e-10 1.588875115289344270e-03 7.503968775888183230e-10 2.326619180786859372e-04 9.757358749831097633e-01 3.606180888437136619e-09 1.426962394772056755e-09
8.551551910894353986e-03 1.050966088184783091e-04 5.309161822730835673e-29 1.378551922695325262e-02 2.615147461845242941e-09 1.097635905456143986e-27 5.755582275503430799e-10 4.737906069627269777e-12 1.832714471158014011e-11 6.936893408536186147e-10 4.813165784621517283e-10 3.532513958282632424e-10 3.031592797778426693e-10 5.629340899362222136e-11 2.035336698542651025e-10 1.587726839993733666e-03 7.509189007497894796e-10 2.327554875220992593e-04 9.757373388333259179e-01 3.608484797093916204e-09 1.428074004793426496e-09
8.547575658172594515e-03 1.051435401102785024e-04 5.291815236619951420e-29 1.378880486387602626e-02 2.615438920395733508e-09 3.152348593368702140e-27 5.757071247801184193e-10 4.739015531780241939e-12 1.833595760601539392e-11 6.942316537039359043e-10 4.817376110257109247e-10 3.535791558658351168e-10 3.034752541685329660e-10 5.634246052421088315e-11 2.037361137698314158e-10 1.585905288709310666e-03 7.517499382291987891e-10 2.329043463099014148e-04 9.757396552017539859e-01 3.612151120872617030e-09 1.429843613115883333e-09
8.541261525758677559e-03 1.052181969178721260e-04 5.282375873380770516e-29 1.379402825058468306e-02 2.615903690122825703e-09 9.999999999999999949e-91 5.759441610537883968e-10 4.740783012508133312e-12 1.834998346863101717e-11 6.950946597842437948e-10 4.824076976242591978e-10 3.541008636807364902e-10 3.039782590493084204e-10 5.642055964846104568e-11 2.040584667068432534e-10 1.583016853940691186e-03 7.530733338197796678e-10 2.331412078915915786e-04 9.757433228501852795e-01 3.617986832540164517e-09 1.432661944892559964e-09
8.531232962259759425e-03 1.053365848447143741e-04 5.311773306527419172e-29 1.380230370690127203e-02 2.616632376571365875e-09 9.999999999999999949e-91 5.763186029674160451e-10 4.743570016479572550e-12 1.837220657258155186e-11 6.964649958882007047e-10 4.834720171626900443e-10 3.549295939203962680e-10 3.047776042127370949e-10 5.654454095867731067e-11 2.045704901783034948e-10 1.578439397786305471e-03 7.551763850182988868e-10 2.335174076838767636e-04 9.757491588041129482e-01 3.627265734507411621e-09 1.437142966216917859e-09
8.518762383632983923e-03 1.054813141555325633e-04 5.297837664260088047e-29 1.381237775227459573e-02 2.617472158981007128e-09 4.071079158306248416e-27 5.767680553669937594e-10 4.746885374363149221e-12 1.839926654923764709e-11 6.981484901976216248e-10 4.847808306550521138e-10 3.559489215773415524e-10 3.057620916291043933e-10 5.669665062467242669e-11 2.051999480972260809e-10 1.572792432663767817e-03 7.577657748165559050e-10 2.339809327162400510e-04 9.757565940215362499e-01 3.638662265566832943e-09 1.442669367490419251e-09
8.506703998293532049e-03 1.056202752107673377e-04 5.308073936942250074e-29 1.382202635514795386e-02 2.618252685791033232e-09 5.665825654925431330e-27 5.771953020942308354e-10 4.750021569712225407e-12 1.842519394791859146e-11 6.997697481369495610e-10 4.860420515166920469e-10 3.569313750788336220e-10 3.067117735158962911e-10 5.684305196434436531e-11 2.058065359481825906e-10 1.567355652341307802e-03 7.602635321099293212e-10 2.344278885060263184e-04 9.757638546418595515e-01 3.649643767888654434e-09 1.448005884206203382e-09
8.490641792859630541e-03 1.058103616767170501e-04 5.286580355400643914e-29 1.383525897009697976e-02 2.619400253628125370e-09 1.844513129731159877e-27 5.777924107433548637e-10 4.754456724103459451e-12 1.846085594232965903e-11 7.019795744243610397e-10 4.877602690811755741e-10 3.582701481156068163e-10 3.080048309795691814e-10 5.704320097014434770e-11 2.066344837831469172e-10 1.560091884245736306e-03 7.636691476691062068e-10 2.350346702341986392e-04 9.757731510972348365e-01 3.664608144275541708e-09 1.455274074950983487e-09
8.463037883725871638e-03 1.061391206016422064e-04 5.250779742570478059e-29 1.385811711649584214e-02 2.621388214302020648e-09 9.999999999999999949e-91 5.788250146319302483e-10 4.762131107607344878e-12 1.852255965155681247e-11 7.058072447720875425e-10 4.907377345167056079e-10 3.605908582181883866e-10 3.102475158248845998e-10 5.739015402827089436e-11 2.080705470743834388e-10 1.547655148919112713e-03 7.695794884722435721e-10 2.360848229249326905e-04 9.757889546229817634e-01 3.690533366977965521e-09 1.467896078259496991e-09
